id,Fecha,FK_Periodo,Anyo,Valor,Id_ipc
1,2017-09-01T00:00:00.000000,9,2017,1.8,1
2,2017-10-01T00:00:00.000000,10,2017,1.6,1
3,2017-11-01T00:00:00.000000,11,2017,1.7,1
4,2017-12-01T00:00:00.000000,12,2017,1.1,1
5,2018-01-01T00:00:00.000000,1,2018,0.6,1
6,2018-02-01T00:00:00.000000,2,2018,1.1,1
7,2018-03-01T00:00:00.000000,3,2018,1.2,1
8,2018-04-01T00:00:00.000000,4,2018,1.1,1
9,2018-05-01T00:00:00.000000,5,2018,2.1,1
10,2018-06-01T00:00:00.000000,6,2018,2.3,1
11,2018-07-01T00:00:00.000000,7,2018,2.2,1
12,2018-08-01T00:00:00.000000,8,2018,2.2,1
13,2018-09-01T00:00:00.000000,9,2018,2.3,1
14,2018-10-01T00:00:00.000000,10,2018,2.3,1
15,2018-11-01T00:00:00.000000,11,2018,1.7,1
16,2018-12-01T00:00:00.000000,12,2018,1.2,1
17,2019-01-01T00:00:00.000000,1,2019,1.0,1
18,2019-02-01T00:00:00.000000,2,2019,1.1,1
19,2019-03-01T00:00:00.000000,3,2019,1.3,1
20,2019-04-01T00:00:00.000000,4,2019,1.5,1
21,2019-05-01T00:00:00.000000,5,2019,0.8,1
22,2019-06-01T00:00:00.000000,6,2019,0.4,1
23,2019-07-01T00:00:00.000000,7,2019,0.5,1
24,2019-08-01T00:00:00.000000,8,2019,0.3,1
25,2019-09-01T00:00:00.000000,9,2019,0.1,1
26,2019-10-01T00:00:00.000000,10,2019,0.1,1
27,2019-11-01T00:00:00.000000,11,2019,0.4,1
28,2019-12-01T00:00:00.000000,12,2019,0.8,1
29,2020-01-01T00:00:00.000000,1,2020,1.1,1
30,2020-02-01T00:00:00.000000,2,2020,0.7,1
31,2020-03-01T00:00:00.000000,3,2020,0.0,1
32,2020-04-01T00:00:00.000000,4,2020,-0.7,1
33,2020-05-01T00:00:00.000000,5,2020,-0.9,1
34,2020-06-01T00:00:00.000000,6,2020,-0.3,1
35,2020-07-01T00:00:00.000000,7,2020,-0.6,1
36,2020-08-01T00:00:00.000000,8,2020,-0.5,1
37,2020-09-01T00:00:00.000000,9,2020,-0.4,1
38,2020-10-01T00:00:00.000000,10,2020,-0.8,1
39,2020-11-01T00:00:00.000000,11,2020,-0.8,1
40,2020-12-01T00:00:00.000000,12,2020,-0.5,1
41,2021-01-01T00:00:00.000000,1,2021,0.5,1
42,2021-02-01T00:00:00.000000,2,2021,0.0,1
43,2021-03-01T00:00:00.000000,3,2021,1.3,1
44,2021-04-01T00:00:00.000000,4,2021,2.2,1
45,2021-05-01T00:00:00.000000,5,2021,2.7,1
46,2021-06-01T00:00:00.000000,6,2021,2.7,1
47,2021-07-01T00:00:00.000000,7,2021,2.9,1
48,2021-08-01T00:00:00.000000,8,2021,3.3,1
49,2021-09-01T00:00:00.000000,9,2021,4.0,1
50,2021-10-01T00:00:00.000000,10,2021,5.4,1
51,2021-11-01T00:00:00.000000,11,2021,5.5,1
52,2021-12-01T00:00:00.000000,12,2021,6.5,1
53,2022-01-01T00:00:00.000000,1,2022,6.1,1
54,2022-02-01T00:00:00.000000,2,2022,7.6,1
55,2022-03-01T00:00:00.000000,3,2022,9.8,1
56,2022-04-01T00:00:00.000000,4,2022,8.3,1
57,2022-05-01T00:00:00.000000,5,2022,8.7,1
58,2022-06-01T00:00:00.000000,6,2022,10.2,1
59,2022-07-01T00:00:00.000000,7,2022,10.8,1
60,2022-08-01T00:00:00.000000,8,2022,10.5,1
61,2022-09-01T00:00:00.000000,9,2022,8.9,1
62,2022-10-01T00:00:00.000000,10,2022,7.3,1
63,2022-11-01T00:00:00.000000,11,2022,6.8,1
64,2022-12-01T00:00:00.000000,12,2022,5.7,1
65,2023-01-01T00:00:00.000000,1,2023,5.9,1
66,2023-02-01T00:00:00.000000,2,2023,6.0,1
67,2023-03-01T00:00:00.000000,3,2023,3.3,1
68,2023-04-01T00:00:00.000000,4,2023,4.1,1
69,2023-05-01T00:00:00.000000,5,2023,3.2,1
70,2023-06-01T00:00:00.000000,6,2023,1.9,1
71,2023-07-01T00:00:00.000000,7,2023,2.3,1
72,2023-08-01T00:00:00.000000,8,2023,2.6,1
73,2023-09-01T00:00:00.000000,9,2023,3.5,1
74,2023-10-01T00:00:00.000000,10,2023,3.5,1
75,2023-11-01T00:00:00.000000,11,2023,3.2,1
76,2023-12-01T00:00:00.000000,12,2023,3.1,1
77,2024-01-01T00:00:00.000000,1,2024,3.4,1
78,2024-02-01T00:00:00.000000,2,2024,2.8,1
79,2024-03-01T00:00:00.000000,3,2024,3.2,1
80,2024-04-01T00:00:00.000000,4,2024,3.3,1
81,2024-05-01T00:00:00.000000,5,2024,3.6,1
82,2024-06-01T00:00:00.000000,6,2024,3.4,1
83,2024-07-01T00:00:00.000000,7,2024,2.8,1
84,2024-08-01T00:00:00.000000,8,2024,2.3,1
85,2024-09-01T00:00:00.000000,9,2024,1.5,1
86,2024-10-01T00:00:00.000000,10,2024,1.8,1
87,2024-11-01T00:00:00.000000,11,2024,2.4,1
88,2024-12-01T00:00:00.000000,12,2024,2.8,1
89,2025-01-01T00:00:00.000000,1,2025,2.9,1
90,2025-02-01T00:00:00.000000,2,2025,3.0,1
91,2025-03-01T00:00:00.000000,3,2025,2.3,1
92,2025-04-01T00:00:00.000000,4,2025,2.2,1
93,2025-05-01T00:00:00.000000,5,2025,2.0,1
94,2025-06-01T00:00:00.000000,6,2025,2.3,1
95,2025-07-01T00:00:00.000000,7,2025,2.7,1
96,2025-08-01T00:00:00.000000,8,2025,2.7,1
97,2025-09-01T00:00:00.000000,9,2025,3.0,1
98,2025-10-01T00:00:00.000000,10,2025,3.1,1
99,2025-11-01T00:00:00.000000,11,2025,3.0,1
100,2025-12-01T00:00:00.000000,12,2025,2.9,1
